submission_id,response_id,synthetic_data,survey_version,survey_round,interview_date,program_start_date,region_code,site_code,enumerator_code,consent,age_group,gender,household_size,disability_access,participated_training,training_date,training_topic,satisfaction_score,knowledge_before,knowledge_after,used_skill,service_access,follow_up_requested,preferred_channel,open_comment,completion_minutes
SUB-0020,SYN-0020,yes,1.0.0,ROUND_2,2025-08-27,2025-07-04,WEST,W02,ENUM_03,yes,25_34,woman,7,yes,yes,2025-07-17,leadership,4,2,4,yes,4,no,,,28.9
SUB-0131,SYN-0131,yes,1.0.0,ROUND_2,2025-04-15,2025-02-27,EAST,E01,ENUM_04,yes,25_34,woman,1,no,yes,2025-03-08,financial_skills,5,1,2,yes,5,yes,community_meeting,,18.7
SUB-0032,SYN-0032,yes,1.0.0,ROUND_2,2025-06-29,2025-04-27,EAST,E01,ENUM_06,yes,35_44,man,7,no,yes,2025-05-15,leadership,3,3,5,no,2,no,,,9.9
SUB-0063,SYN-0063,yes,1.0.0,ROUND_2,2025-08-09,2025-04-07,EAST,E03,ENUM_02,yes,25_34,man,2,no,no,,,,,,,5,no,,,19.7
SUB-0249,SYN-0249,yes,1.0.0,ROUND_1,2025-09-23,2025-04-27,NORTH,N01,ENUM_06,yes,45_54,woman,2,no,yes,2025-05-12,planning,3,3,5,yes,3,no,,,19.5
SUB-0141,SYN-0141,yes,1.0.0,ROUND_1,2025-04-20,2025-02-07,EAST,E01,ENUM_01,yes,35_44,woman,4,no,yes,2025-02-13,planning,4,3,3,yes,5,no,,,29.6
SUB-0280,SYN-0280,yes,1.0.0,ROUND_2,2025-09-07,2025-05-10,WEST,W02,ENUM_04,yes,35_44,woman,4,no,no,,,,,,,4,no,,,12.8
SUB-0031,SYN-0031,yes,1.0.0,ROUND_2,2025-06-09,2025-04-25,EAST,E02,ENUM_01,yes,35_44,woman,3,no,yes,2025-05-21,planning,4,1,2,no,3,no,,,20.0
SUB-DUP-006,SYN-0305,yes,1.0.0,ROUND_1,2025-08-16,2025-07-14,WEST,W02,ENUM_04,yes,18_24,man,4,yes,yes,2025-07-22,planning,3,1,3,no,5,yes,radio,,6.3
SUB-0183,SYN-0183,yes,1.0.0,ROUND_1,2026-01-15,2025-05-05,SOUTH,S01,ENUM_04,yes,55_plus,man,6,no,yes,2025-07-01,financial_skills,3,4,5,yes,5,no,,,28.0
SUB-0379,SYN-0379,yes,1.0.0,ROUND_2,2025-04-04,2025-02-14,WEST,W01,ENUM_08,yes,18_24,man,4,no,yes,2025-03-02,planning,4,2,3,no,3,yes,printed_material,The facilitator explained the topic clearly and respectfully.,17.6
SUB-0382,SYN-0382,yes,1.0.0,ROUND_2,2025-04-03,2024-11-14,WEST,W02,ENUM_01,yes,25_34,woman,7,yes,yes,2024-12-26,financial_skills,2,3,4,no,4,no,,,15.4
SUB-0259,SYN-0259,yes,1.0.0,ROUND_2,2025-06-03,2025-01-15,NORTH,N02,ENUM_07,yes,25_34,man,6,no,yes,2025-04-03,planning,5,3,4,no,3,no,,,17.8
SUB-0360,SYN-0360,yes,1.0.0,ROUND_1,2025-06-17,2025-01-26,WEST,W01,ENUM_03,yes,45_54,man,4,yes,no,,,,,,,3,no,,,20.3
SUB-0396,SYN-0396,yes,1.0.0,ROUND_2,2025-08-16,2025-06-29,WEST,W02,ENUM_04,yes,25_34,woman,2,no,yes,2025-07-12,leadership,4,2,2,no,5,yes,radio,The facilitator explained the topic clearly and respectfully.,21.7
SUB-0028,SYN-0028,yes,1.0.0,ROUND_2,2025-04-02,2024-11-19,NORTH,N03,ENUM_04,yes,25_34,man,3,no,yes,2024-12-18,planning,4,2,2,no,5,yes,community_meeting,The facilitator explained the topic clearly and respectfully.,16.7
SUB-0389,SYN-0389,yes,1.0.0,ROUND_1,2025-07-09,2025-04-29,EAST,E03,ENUM_08,yes,35_44,woman,5,no,no,,,,,,,3,no,,,25.1
SUB-0331,SYN-0331,yes,1.0.0,ROUND_1,2025-04-21,2025-01-08,SOUTH,S01,ENUM_01,yes,18_24,man,5,yes,no,,,,,,,3,no,,,30.7
SUB-0224,SYN-0224,yes,1.0.0,,,,,,,no,,,,,,,,,,,,,,,,
SUB-0152,SYN-0152,yes,1.0.0,ROUND_1,2025-04-19,2024-12-19,NORTH,N03,ENUM_05,yes,25_34,woman,5,no,yes,2025-01-19,leadership,5,3,4,yes,3,no,,,28.0
SUB-0242,SYN-0242,yes,1.0.0,ROUND_2,2025-07-02,2025-04-25,EAST,E03,ENUM_07,yes,35_44,man,5,no,yes,2025-06-13,digital_skills,5,1,2,no,4,no,,,20.3
SUB-0284,SYN-0284,yes,1.0.0,ROUND_2,2025-07-02,2025-05-12,WEST,W03,ENUM_04,yes,45_54,woman,7,no,yes,2025-06-11,leadership,4,3,3,yes,4,no,,A location closer to the community would improve attendance.,14.4
SUB-0090,SYN-0090,yes,1.0.0,ROUND_1,2025-05-26,2025-04-14,NORTH,N01,ENUM_08,yes,25_34,non_binary,6,no,yes,2025-05-17,planning,3,1,2,no,1,no,,,27.7
SUB-0088,SYN-0088,yes,1.0.0,,,,,,,no,,,,,,,,,,,,,,,,
SUB-0105,SYN-0105,yes,1.0.0,ROUND_1,2025-06-30,2025-02-06,EAST,E02,ENUM_07,yes,25_34,woman,6,yes,yes,2025-05-30,digital_skills,5,2,3,no,3,no,,,17.4
SUB-0346,SYN-0346,yes,1.0.0,ROUND_1,2025-05-06,2025-02-21,EAST,E03,ENUM_04,yes,45_54,woman,4,no,no,,,,,,,5,yes,community_meeting,,13.4
SUB-0165,SYN-0165,yes,1.0.0,ROUND_2,2025-09-12,2025-04-16,EAST,E01,ENUM_05,yes,35_44,man,3,no,no,,,,,,,3,yes,printed_material,,22.5
SUB-0126,SYN-0126,yes,1.0.0,ROUND_2,2025-06-18,2025-05-08,WEST,W03,ENUM_07,yes,35_44,woman,6,no,yes,2025-05-27,leadership,5,2,3,no,3,no,,,14.5
SUB-0145,SYN-0145,yes,1.0.0,ROUND_1,2025-04-14,2025-01-27,NORTH,N03,ENUM_08,yes,25_34,man,6,no,yes,2025-01-29,planning,4,2,2,no,2,no,,,18.1
SUB-0308,SYN-0308,yes,1.0.0,ROUND_2,2025-05-31,2025-03-10,WEST,W02,ENUM_01,yes,25_34,woman,4,no,yes,2025-05-27,planning,3,4,5,yes,4,yes,radio,,15.0
SUB-0359,SYN-0359,yes,1.0.0,ROUND_2,2025-06-09,2025-04-15,EAST,E02,ENUM_02,yes,25_34,woman,5,no,yes,2025-05-17,financial_skills,3,2,3,yes,1,no,,,21.8
SUB-0004,SYN-0004,yes,1.0.0,ROUND_1,2025-09-18,2025-06-04,SOUTH,S03,ENUM_01,yes,25_34,woman,2,no,yes,2025-06-05,leadership,4,2,3,yes,4,yes,printed_material,,18.0
SUB-0287,SYN-0287,yes,1.0.0,ROUND_2,2025-07-17,2025-05-10,EAST,E01,ENUM_08,yes,35_44,man,4,no,no,,,,,,,5,yes,printed_material,,7.1
SUB-0055,SYN-0055,yes,1.0.0,ROUND_1,2025-07-12,2025-05-21,WEST,W01,ENUM_04,yes,45_54,woman,3,no,yes,2025-07-05,financial_skills,4,4,5,yes,4,no,,,32.5
SUB-0142,SYN-0142,yes,1.0.0,ROUND_1,2025-08-23,2025-04-04,WEST,W03,ENUM_04,yes,45_54,woman,4,no,yes,2025-08-16,leadership,5,4,5,no,3,yes,radio,,20.3
SUB-0148,SYN-0148,yes,1.0.0,ROUND_1,2025-08-29,2025-06-27,WEST,W03,ENUM_05,yes,18_24,woman,3,no,yes,2025-08-16,planning,3,2,3,no,2,no,,,19.4
SUB-0194,SYN-0194,yes,1.0.0,ROUND_1,2025-08-15,2025-04-28,SOUTH,S01,ENUM_02,yes,25_34,woman,6,yes,no,,,,,,,4,yes,printed_material,,20.5
SUB-0100,SYN-0100,yes,1.0.0,ROUND_2,2025-04-08,2024-11-14,WEST,W03,ENUM_07,yes,25_34,man,10,no,no,,,,,,,3,no,,,25.7
SUB-0210,SYN-0210,yes,1.0.0,ROUND_2,2025-07-13,2025-06-10,NORTH,N01,ENUM_02,yes,35_44,woman,12,no,yes,2025-06-22,digital_skills,4,1,2,yes,4,yes,community_meeting,,20.0
SUB-0042,SYN-0042,yes,1.0.0,,,,,,,no,,,,,,,,,,,,,,,,
SUB-0281,SYN-0281,yes,1.0.0,ROUND_1,2025-04-23,2025-02-28,SOUTH,S01,ENUM_06,yes,35_44,man,6,no,yes,2025-04-08,leadership,4,3,4,no,4,no,,The activity should start earlier so participants can travel home safely.,10.5
SUB-0228,SYN-0228,yes,1.0.0,ROUND_1,2025-06-03,2025-02-22,NORTH,N02,ENUM_08,yes,18_24,man,4,yes,yes,2025-04-21,financial_skills,5,2,4,yes,3,no,,,12.7
SUB-0223,SYN-0223,yes,1.0.0,ROUND_2,2025-05-21,2025-04-05,WEST,W02,ENUM_01,yes,18_24,man,4,no,yes,2025-05-16,financial_skills,4,1,1,yes,4,no,,,10.9
SUB-0120,SYN-0120,yes,1.0.0,ROUND_2,2025-05-03,2024-12-25,EAST,E01,ENUM_04,yes,25_34,woman,1,no,yes,2025-03-23,leadership,4,2,3,no,3,yes,community_meeting,,26.4
SUB-0209,SYN-0209,yes,1.0.0,ROUND_1,2025-05-17,2025-02-06,EAST,E01,ENUM_01,yes,35_44,man,5,yes,yes,2025-02-06,planning,4,2,2,yes,4,yes,community_meeting,,24.0
SUB-0191,SYN-0191,yes,1.0.0,ROUND_1,2025-07-02,2025-05-01,WEST,W01,ENUM_04,yes,25_34,man,7,no,yes,2025-05-05,financial_skills,1,2,3,yes,2,no,,,17.5
SUB-0163,SYN-0163,yes,1.0.0,ROUND_2,2025-09-14,2025-05-09,SOUTH,S03,ENUM_01,yes,55_plus,woman,6,no,yes,2025-09-08,planning,4,4,5,no,4,no,,,17.9
SUB-0317,SYN-0317,yes,1.0.0,ROUND_1,2025-07-11,2025-05-10,EAST,E03,ENUM_08,yes,25_34,woman,0,no,yes,2025-05-31,planning,4,4,5,yes,3,no,,,18.1
SUB-0247,SYN-0247,yes,1.0.0,ROUND_1,2025-05-15,2025-01-11,SOUTH,S01,ENUM_03,yes,55_plus,woman,5,no,yes,2025-02-28,planning,5,2,3,yes,4,no,,The group activities helped me learn from other participants.,19.1
SUB-0295,SYN-0295,yes,1.0.0,ROUND_2,2025-05-12,2025-02-26,WEST,W01,ENUM_07,yes,25_34,woman,5,no,yes,2025-03-22,leadership,5,1,1,no,3,yes,radio,,25.0
SUB-0282,SYN-0282,yes,1.0.0,ROUND_1,2025-06-14,2025-01-20,WEST,W03,ENUM_07,yes,18_24,woman,2,no,yes,2025-02-23,digital_skills,4,3,5,yes,3,no,,I have already used one of the planning tools from the session.,23.3
SUB-0019,SYN-0019,yes,1.0.0,ROUND_1,2025-06-25,2025-02-21,SOUTH,S03,ENUM_05,yes,45_54,woman,6,no,yes,2025-06-01,financial_skills,4,2,3,no,5,no,,,30.1
SUB-0196,SYN-0196,yes,1.0.0,ROUND_2,2025-07-16,2025-05-31,EAST,E02,ENUM_07,yes,55_plus,woman,6,no,yes,2025-06-25,leadership,5,1,1,yes,4,no,,,18.9
SUB-0257,SYN-0257,yes,1.0.0,ROUND_2,2025-07-29,2025-03-23,EAST,E03,ENUM_04,yes,45_54,man,5,no,yes,2025-04-08,digital_skills,5,1,3,yes,2,no,,,16.1
SUB-0366,SYN-0366,yes,1.0.0,ROUND_2,2025-05-29,2025-03-10,NORTH,N03,ENUM_08,yes,35_44,man,3,no,yes,2025-03-24,planning,5,1,2,yes,4,no,,,15.5
SUB-0050,SYN-0050,yes,1.0.0,ROUND_2,2025-06-26,2025-04-04,WEST,W03,ENUM_02,yes,45_54,man,6,no,yes,2025-05-24,planning,5,1,3,yes,3,no,,,20.1
SUB-0160,SYN-0160,yes,1.0.0,ROUND_1,2025-05-08,2025-01-22,SOUTH,S02,ENUM_02,yes,45_54,woman,5,no,yes,2025-03-11,planning,5,3,3,yes,4,no,,,11.5
SUB-0038,SYN-0038,yes,1.0.0,ROUND_2,2025-06-20,2025-04-06,WEST,W02,ENUM_06,yes,35_44,woman,4,no,yes,2025-04-20,financial_skills,4,2,3,no,2,no,,,19.0
SUB-0327,SYN-0327,yes,1.0.0,ROUND_2,2025-06-08,2025-04-08,EAST,E01,ENUM_06,yes,45_54,woman,5,no,yes,2025-06-06,leadership,5,2,2,yes,4,yes,community_meeting,,20.4
SUB-0339,SYN-0339,yes,1.0.0,ROUND_1,2025-04-04,2024-11-24,WEST,W03,ENUM_03,yes,25_34,woman,12,no,yes,2025-01-03,planning,3,2,3,yes,5,no,,,8.2
SUB-0277,SYN-0277,yes,1.0.0,ROUND_1,2025-06-23,2025-02-24,NORTH,N02,ENUM_02,yes,35_44,man,1,no,yes,2025-05-31,digital_skills,1,1,2,no,4,no,,,21.0
SUB-0328,SYN-0328,yes,1.0.0,ROUND_2,2025-04-26,2024-12-14,NORTH,N01,ENUM_03,yes,18_24,man,4,yes,yes,2025-04-04,leadership,5,2,3,yes,4,yes,printed_material,,23.7
SUB-0278,SYN-0278,yes,1.0.0,ROUND_2,2025-04-26,2025-01-09,SOUTH,S03,ENUM_06,yes,18_24,woman,5,yes,yes,2025-02-17,financial_skills,4,3,5,yes,4,yes,printed_material,,11.1
SUB-0168,SYN-0168,yes,1.0.0,ROUND_1,2025-06-22,2025-02-04,NORTH,N03,ENUM_02,yes,45_54,woman,5,no,no,,,,,,,4,no,,,23.8
SUB-0002,SYN-0002,yes,1.0.0,ROUND_1,2025-07-19,2025-04-19,WEST,W01,ENUM_03,yes,18_24,man,6,no,no,,,,,,,3,no,,,8.3
SUB-0274,SYN-0274,yes,1.0.0,ROUND_1,2025-09-20,2025-08-21,EAST,E02,ENUM_04,yes,45_54,woman,2,no,no,,,,,,,4,no,,,6.5
SUB-0178,SYN-0178,yes,1.0.0,ROUND_1,2025-08-22,2025-06-15,WEST,W01,ENUM_06,yes,35_44,man,7,no,no,2025-08-22,digital_skills,4,2,4,yes,5,no,,A follow-up session on digital tools would be helpful.,10.8
SUB-0375,SYN-0375,yes,1.0.0,ROUND_2,2025-09-02,2025-05-05,WEST,W01,ENUM_04,yes,45_54,man,10,no,yes,2025-06-25,financial_skills,2,4,5,no,4,yes,printed_material,,12.3
SUB-0235,SYN-0235,yes,1.0.0,ROUND_2,2025-09-04,2025-08-01,WEST,W01,ENUM_07,yes,35_44,woman,3,no,yes,2025-08-12,digital_skills,4,3,4,yes,5,no,,,16.1
SUB-0008,SYN-0008,yes,1.0.0,ROUND_2,2025-04-16,2025-02-14,NORTH,N03,ENUM_07,yes,18_24,woman,5,no,no,,,,,,,4,no,,,13.8
SUB-0250,SYN-0250,yes,1.0.0,ROUND_2,2025-09-21,2025-04-25,SOUTH,S03,ENUM_06,yes,35_44,woman,2,no,yes,2025-08-11,financial_skills,4,3,5,no,5,no,,,12.3
SUB-0085,SYN-0085,yes,1.0.0,ROUND_2,2025-09-14,2025-05-18,SOUTH,S02,ENUM_07,yes,35_44,man,4,no,yes,2025-06-08,planning,2,4,5,yes,5,no,,,19.1
SUB-0135,SYN-0135,yes,1.0.0,ROUND_2,2025-04-22,2025-01-30,WEST,W01,ENUM_08,yes,18_24,woman,4,yes,no,2025-04-22,digital_skills,4,2,4,yes,4,no,,,10.0
SUB-0272,SYN-0272,yes,1.0.0,ROUND_1,2025-08-19,2025-05-09,SOUTH,S03,ENUM_07,yes,18_24,man,3,no,yes,2025-05-19,digital_skills,4,2,2,yes,3,yes,community_meeting,,10.6
SUB-0073,SYN-0073,yes,1.0.0,ROUND_1,2025-08-29,2025-09-12,EAST,E03,ENUM_04,yes,18_24,woman,5,no,yes,2025-05-28,financial_skills,3,4,4,yes,5,yes,radio,,17.5
SUB-0144,SYN-0144,yes,1.0.0,ROUND_2,2025-06-07,2025-03-13,WEST,,ENUM_07,yes,35_44,woman,6,no,yes,2025-03-21,financial_skills,3,2,3,yes,3,no,,,4.0
SUB-0103,SYN-0103,yes,1.0.0,ROUND_1,2025-05-04,2024-12-06,NORTH,N03,ENUM_06,yes,25_34,man,8,yes,yes,2024-12-11,leadership,4,3,3,yes,2,no,,,27.4
SUB-0017,SYN-0017,yes,1.0.0,ROUND_2,2025-09-15,2025-04-21,EAST,E02,ENUM_07,yes,55_plus,woman,6,no,yes,2025-08-26,financial_skills,1,1,2,no,3,no,,,21.2
SUB-0094,SYN-0094,yes,1.0.0,ROUND_1,2025-08-31,2025-05-10,SOUTH,S03,ENUM_01,yes,45_54,man,6,no,yes,2025-07-20,leadership,5,3,5,no,3,yes,community_meeting,A location closer to the community would improve attendance.,16.7
SUB-0062,SYN-0062,yes,1.0.0,ROUND_1,2025-08-22,2025-07-22,SOUTH,S03,ENUM_02,yes,45_54,man,5,yes,yes,2025-07-30,planning,3,3,4,no,4,yes,community_meeting,,27.9
SUB-0182,SYN-0182,yes,1.0.0,ROUND_1,2025-05-14,2025-04-10,NORTH,N02,ENUM_05,yes,55_plus,non_binary,4,no,yes,2025-04-16,leadership,4,3,4,yes,3,no,,,24.7
SUB-0007,SYN-0007,yes,1.0.0,ROUND_2,2025-08-15,2025-04-03,SOUTH,S02,ENUM_01,yes,35_44,non_binary,5,no,yes,2025-04-15,digital_skills,4,4,5,yes,2,yes,printed_material,,4.0
SUB-0195,SYN-0195,yes,1.0.0,ROUND_1,2025-06-30,2025-03-11,NORTH,N03,ENUM_05,yes,35_44,man,4,no,yes,2025-06-18,leadership,2,1,2,yes,4,no,,,18.8
SUB-0365,SYN-0365,yes,1.0.0,ROUND_1,2025-08-17,2025-06-16,WEST,W01,ENUM_01,yes,35_44,woman,5,no,yes,2025-06-20,financial_skills,1,3,4,yes,4,yes,radio,The facilitator explained the topic clearly and respectfully.,9.3
SUB-0013,SYN-0013,yes,1.0.0,ROUND_2,2025-07-22,2025-05-13,SOUTH,S03,ENUM_07,yes,25_34,man,7,no,no,,,,,,,5,no,,,11.0
SUB-0262,SYN-0262,yes,1.0.0,ROUND_2,2025-06-23,2025-03-06,WEST,W01,ENUM_08,yes,18_24,prefer_not,4,no,yes,2025-06-03,digital_skills,4,3,5,no,5,no,,,19.2
SUB-0289,SYN-0289,yes,1.0.0,ROUND_1,2025-06-05,2025-01-31,SOUTH,S01,ENUM_07,yes,25_34,,5,yes,yes,2025-02-11,leadership,4,1,1,yes,2,no,,I have already used one of the planning tools from the session.,14.8
SUB-0207,SYN-0207,yes,1.0.0,ROUND_1,2025-06-25,2025-04-20,EAST,E01,ENUM_08,yes,45_54,man,9,no,no,,,,,,,2,no,,,12.5
SUB-0155,SYN-0155,yes,1.0.0,ROUND_1,2025-04-20,2024-12-18,WEST,W03,ENUM_02,yes,25_34,non_binary,4,no,yes,2025-04-01,financial_skills,4,3,4,no,3,no,,,15.6
SUB-0162,SYN-0162,yes,1.0.0,ROUND_2,2025-07-04,2025-03-19,WEST,W01,ENUM_04,yes,25_34,woman,4,no,yes,2025-04-11,leadership,4,3,4,yes,5,yes,radio,The practical examples made the sessions easier to understand.,19.9
SUB-0240,SYN-0240,yes,1.0.0,ROUND_2,2025-08-16,2025-06-28,NORTH,N03,ENUM_01,yes,45_54,woman,6,no,yes,2025-08-04,leadership,3,3,4,no,4,no,,The facilitator explained the topic clearly and respectfully.,32.3
SUB-0344,SYN-0344,yes,1.0.0,ROUND_1,2025-09-20,2025-06-11,WEST,W03,ENUM_01,yes,35_44,man,7,no,yes,2025-07-07,planning,5,4,5,yes,2,no,,I would like more examples about budgeting and record keeping.,20.3
SUB-0149,SYN-0149,yes,1.0.0,ROUND_2,2025-08-25,2025-04-16,EAST,E01,ENUM_03,yes,25_34,man,6,no,yes,2025-08-03,digital_skills,4,4,5,no,3,no,,,20.9
SUB-0404,SYN-0404,yes,1.0.0,ROUND_1,2025-04-11,2025-01-26,WEST,W03,ENUM_02,yes,25_34,man,3,no,yes,2025-04-03,leadership,5,4,5,yes,3,no,,,18.9
SUB-0407,SYN-0407,yes,1.0.0,ROUND_2,2025-07-03,2025-05-08,EAST,E02,ENUM_05,yes,25_34,woman,4,no,yes,2025-06-06,digital_skills,3,4,5,no,2,no,,,10.7
SUB-0211,SYN-0211,yes,1.0.0,ROUND_1,2025-07-26,2025-05-09,WEST,W03,ENUM_05,yes,25_34,non_binary,8,no,yes,2025-06-09,financial_skills,5,3,4,no,1,no,,,17.8
SUB-0081,SYN-0081,yes,1.0.0,ROUND_2,2025-08-29,2025-06-09,WEST,W02,ENUM_06,yes,25_34,woman,7,yes,yes,2025-06-18,financial_skills,1,3,3,no,5,no,,,18.1
SUB-0043,SYN-0043,yes,1.0.0,ROUND_2,2025-04-28,2024-12-25,EAST,E02,ENUM_07,yes,25_34,woman,3,no,yes,2025-02-27,planning,4,3,5,no,4,no,,,21.1
SUB-0199,SYN-0199,yes,1.0.0,ROUND_1,2025-05-14,2025-02-11,EAST,E02,ENUM_04,yes,35_44,woman,6,no,yes,2025-02-20,leadership,4,4,5,no,1,no,,,28.1
SUB-0238,SYN-0238,yes,1.0.0,ROUND_1,2025-06-22,2025-02-25,EAST,E01,ENUM_02,yes,18_24,man,4,no,yes,2025-02-26,financial_skills,5,1,1,yes,2,no,,,13.9
SUB-0177,SYN-0177,yes,1.0.0,ROUND_1,2025-07-19,2025-05-26,WEST,W02,ENUM_06,yes,55_plus,man,5,no,no,,,,,,,4,no,,,27.2
SUB-0381,SYN-0381,yes,1.0.0,ROUND_2,2025-09-16,2025-05-14,SOUTH,S01,ENUM_04,yes,25_34,man,3,no,no,,,,,,,3,no,,,14.6
SUB-0318,SYN-0318,yes,1.0.0,ROUND_1,2025-04-10,2025-01-28,NORTH,N02,ENUM_07,yes,25_34,man,3,no,yes,2025-04-05,digital_skills,3,3,5,no,4,no,,"The session was useful, but the timing conflicted with other responsibilities.",21.7
SUB-0107,SYN-0107,yes,1.0.0,ROUND_2,2025-05-16,2025-03-29,EAST,E01,ENUM_06,yes,55_plus,woman,5,yes,yes,2025-03-30,digital_skills,4,3,3,yes,4,no,,,13.7
SUB-0263,SYN-0263,yes,1.0.0,ROUND_1,2025-04-16,2024-12-14,NORTH,N03,ENUM_04,yes,35_44,woman,5,no,yes,2025-02-11,financial_skills,4,3,5,yes,3,no,,,10.0
SUB-0016,SYN-0016,yes,1.0.0,ROUND_1,2025-06-26,2025-05-03,WEST,W01,ENUM_08,yes,55_plus,woman,6,no,yes,2025-06-06,planning,3,4,5,yes,5,no,,,23.0
SUB-0127,SYN-0127,yes,1.0.0,ROUND_2,2025-04-14,2024-12-14,NORTH,N03,ENUM_03,yes,25_34,man,5,no,yes,2025-02-20,financial_skills,4,3,3,yes,3,yes,printed_material,,10.8
SUB-0305,SYN-0305,yes,1.0.0,ROUND_1,2025-08-16,2025-07-14,WEST,W02,ENUM_04,yes,18_24,man,4,yes,yes,2025-07-22,planning,3,1,3,no,5,yes,radio,,6.3
SUB-0351,SYN-0351,yes,1.0.0,ROUND_2,2025-08-28,2025-07-03,WEST,W01,ENUM_08,yes,25_34,man,7,no,yes,2025-08-09,leadership,5,2,4,yes,4,no,,Travel to the meeting location was difficult during bad weather.,31.8
SUB-0115,SYN-0115,yes,1.0.0,ROUND_1,2025-07-23,2025-03-28,WEST,W01,ENUM_06,yes,35_44,man,2,no,yes,2025-04-25,financial_skills,4,3,5,yes,4,no,,,21.9
SUB-0045,SYN-0045,yes,1.0.0,ROUND_2,2025-08-20,2025-07-07,NORTH,N03,ENUM_07,yes,18_24,man,9,no,yes,2025-08-06,digital_skills,4,1,1,yes,3,yes,radio,,19.4
SUB-0313,SYN-0313,yes,1.0.0,ROUND_1,2025-09-01,2025-04-27,EAST,E01,ENUM_03,yes,18_24,man,7,no,yes,2025-06-23,financial_skills,4,4,4,yes,5,no,,,11.1
SUB-0332,SYN-0332,yes,1.0.0,ROUND_2,2025-06-27,2025-04-08,NORTH,N03,ENUM_04,yes,25_34,man,5,no,yes,2025-05-30,digital_skills,4,2,3,no,3,yes,printed_material,"The session was useful, but the timing conflicted with other responsibilities.",19.6
SUB-0298,SYN-0298,yes,1.0.0,ROUND_2,2025-08-28,2025-07-22,NORTH,N01,ENUM_08,yes,,woman,5,no,no,,,,,,,2,no,,,14.3
SUB-0312,SYN-0312,yes,1.0.0,ROUND_2,2025-08-28,2025-06-25,SOUTH,S01,ENUM_02,yes,35_44,man,3,no,yes,2025-07-17,planning,3,3,4,yes,5,no,,,19.5
SUB-0044,SYN-0044,yes,1.0.0,ROUND_2,2025-06-04,2025-04-30,SOUTH,S02,ENUM_05,yes,45_54,woman,10,yes,yes,2025-05-05,financial_skills,5,4,5,yes,4,yes,printed_material,,15.5
SUB-0330,SYN-0330,yes,1.0.0,ROUND_1,2025-04-22,2025-01-22,EAST,E02,ENUM_04,yes,25_34,woman,5,no,yes,2025-03-07,leadership,2,1,2,no,2,no,,,24.1
SUB-0150,SYN-0150,yes,1.0.0,ROUND_2,2025-09-12,2025-07-13,WEST,W03,ENUM_06,yes,18_24,woman,5,no,no,,,,,,,4,no,,,19.1
SUB-0192,SYN-0192,yes,1.0.0,ROUND_2,2025-05-31,2025-02-13,CENTRAL,E03,ENUM_02,yes,25_34,woman,3,no,yes,2025-04-25,digital_skills,4,2,4,no,3,no,,,15.9
