submission_id,response_id,synthetic_data,survey_version,survey_round,interview_date,program_start_date,region_code,site_code,enumerator_code,consent,age_group,gender,household_size,disability_access,participated_training,training_date,training_topic,satisfaction_score,knowledge_before,knowledge_after,used_skill,service_access,follow_up_requested,preferred_channel,open_comment,completion_minutes,qc_missing_required,qc_duplicate_response_id,qc_invalid_code,qc_date_consistency,qc_out_of_range,qc_region_site_consistency,qc_skip_logic,qc_issue_count,qc_any_issue,theme
SUB-0118,SYN-0118,yes,1.0.0,ROUND_2,2025-06-15,2025-05-09,NORTH,N01,ENUM_04,yes,18_24,woman,5,no,yes,2025-05-29,digital_skills,3,4,4,yes,5,no,,The activity should start earlier so participants can travel home safely.,12.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0134,SYN-0134,yes,1.0.0,ROUND_1,2025-08-24,2025-03-29,SOUTH,S02,ENUM_06,yes,35_44,man,4,no,yes,2025-07-27,planning,3,4,5,yes,4,no,,The practical examples made the sessions easier to understand.,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0140,SYN-0140,yes,1.0.0,ROUND_2,2025-09-13,2025-05-19,SOUTH,S01,ENUM_01,yes,18_24,man,4,no,yes,2025-08-06,,5,1,2,no,3,no,,The activity should start earlier so participants can travel home safely.,15.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Timing and scheduling
SUB-0153,SYN-0153,yes,1.0.0,ROUND_1,2025-04-22,2024-11-30,SOUTH,S03,ENUM_07,yes,18_24,man,3,no,yes,2025-01-14,planning,5,2,3,no,1,yes,radio,The facilitator explained the topic clearly and respectfully.,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0154,SYN-0154,yes,1.0.0,ROUND_1,2025-08-13,2025-05-14,NORTH,N03,ENUM_04,yes,45_54,man,5,no,yes,2025-07-08,digital_skills,5,4,5,no,3,no,,I would like more examples about budgeting and record keeping.,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0161,SYN-0161,yes,1.0.0,ROUND_2,2025-06-20,2025-04-15,EAST,E02,ENUM_08,yes,45_54,woman,5,no,yes,2025-04-19,digital_skills,4,4,5,yes,2,no,,More time for questions and practice would improve the training.,12.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0162,SYN-0162,yes,1.0.0,ROUND_2,2025-07-04,2025-03-19,WEST,W01,ENUM_04,yes,25_34,woman,4,no,yes,2025-04-11,leadership,4,3,4,yes,5,yes,radio,The practical examples made the sessions easier to understand.,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0172,SYN-0172,yes,1.0.0,ROUND_2,2025-04-08,2024-11-10,NORTH,N01,ENUM_03,yes,45_54,woman,2,no,yes,2025-03-08,leadership,5,3,4,no,4,no,,The group activities helped me learn from other participants.,10.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0178,SYN-0178,yes,1.0.0,ROUND_1,2025-08-22,2025-06-15,WEST,W01,ENUM_06,yes,35_44,man,7,no,no,2025-08-22,digital_skills,4,2,4,yes,5,no,,A follow-up session on digital tools would be helpful.,10.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,Request for more content
SUB-0186,SYN-0186,yes,1.0.0,ROUND_2,2025-06-25,2025-03-27,SOUTH,S01,ENUM_07,yes,18_24,woman,5,no,yes,2025-06-03,digital_skills,4,1,3,yes,2,yes,radio,The practical examples made the sessions easier to understand.,30.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0187,SYN-0187,yes,1.0.0,ROUND_2,2025-06-23,2025-03-15,EAST,E01,ENUM_05,yes,35_44,man,5,yes,yes,2025-04-08,financial_skills,4,4,5,yes,2,yes,radio,"The session was useful, but the timing conflicted with other responsibilities.",12.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0188,SYN-0188,yes,1.0.0,ROUND_2,2025-09-04,2025-04-20,NORTH,N01,ENUM_08,yes,18_24,woman,4,no,yes,2025-07-28,planning,5,2,3,yes,4,yes,printed_material,A follow-up session on digital tools would be helpful.,15.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0193,SYN-0193,yes,1.0.0,ROUND_1,2025-05-11,2024-12-16,WEST,W02,ENUM_06,yes,35_44,woman,4,no,yes,2025-02-04,financial_skills,4,2,3,no,3,no,,"The session was useful, but the timing conflicted with other responsibilities.",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0206,SYN-0206,yes,1.0.0,ROUND_2,2025-09-25,2025-05-24,EAST,E03,ENUM_03,yes,45_54,woman,5,no,yes,2025-05-27,financial_skills,5,3,5,yes,4,no,,I would like more examples about budgeting and record keeping.,15.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Request for more content
SUB-0217,SYN-0217,yes,1.0.0,ROUND_2,2025-06-20,2025-01-27,EAST,E02,ENUM_03,yes,35_44,man,3,no,yes,2025-04-24,financial_skills,5,2,2,no,4,no,,The group activities helped me learn from other participants.,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0218,SYN-0218,yes,1.0.0,ROUND_2,2025-05-23,2025-02-16,EAST,E01,ENUM_08,yes,45_54,woman,5,yes,yes,2025-04-04,planning,4,4,5,yes,3,yes,printed_material,Printed materials would help people who cannot attend every session.,18.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0234,SYN-0234,yes,1.0.0,ROUND_2,2025-04-22,2025-02-20,EAST,E01,ENUM_01,yes,35_44,man,7,no,yes,2025-04-11,leadership,3,2,3,yes,5,no,,I would like more examples about budgeting and record keeping.,13.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0240,SYN-0240,yes,1.0.0,ROUND_2,2025-08-16,2025-06-28,NORTH,N03,ENUM_01,yes,45_54,woman,6,no,yes,2025-08-04,leadership,3,3,4,no,4,no,,The facilitator explained the topic clearly and respectfully.,32.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0243,SYN-0243,yes,1.0.0,ROUND_1,2025-07-26,2025-06-21,EAST,E01,ENUM_02,yes,55_plus,non_binary,3,no,yes,2025-07-03,planning,2,4,4,yes,3,no,,The group activities helped me learn from other participants.,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0245,SYN-0245,yes,1.0.0,ROUND_1,2025-09-05,2025-06-25,NORTH,N02,ENUM_02,yes,45_54,man,3,no,yes,2025-08-04,planning,4,3,4,no,3,no,radio,More time for questions and practice would improve the training.,25.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,Request for more content
SUB-0247,SYN-0247,yes,1.0.0,ROUND_1,2025-05-15,2025-01-11,SOUTH,S01,ENUM_03,yes,55_plus,woman,5,no,yes,2025-02-28,planning,5,2,3,yes,4,no,,The group activities helped me learn from other participants.,19.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0258,SYN-0258,yes,1.0.0,ROUND_2,2025-05-28,2025-04-04,EAST,E02,ENUM_01,yes,25_34,man,3,no,yes,2025-04-25,leadership,5,2,3,yes,4,no,,"The session was useful, but the timing conflicted with other responsibilities.",5.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0260,SYN-0260,yes,1.0.0,ROUND_2,2025-04-06,2024-11-24,SOUTH,S02,ENUM_06,yes,35_44,man,7,no,yes,2025-03-18,financial_skills,5,4,5,yes,4,yes,radio,The group activities helped me learn from other participants.,9.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0261,SYN-0261,yes,1.0.0,ROUND_1,2025-08-21,2025-06-24,NORTH,N02,ENUM_04,yes,25_34,man,7,no,yes,2025-08-21,leadership,4,3,4,no,4,no,,I would like more examples about budgeting and record keeping.,21.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0281,SYN-0281,yes,1.0.0,ROUND_1,2025-04-23,2025-02-28,SOUTH,S01,ENUM_06,yes,35_44,man,6,no,yes,2025-04-08,leadership,4,3,4,no,4,no,,The activity should start earlier so participants can travel home safely.,10.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0282,SYN-0282,yes,1.0.0,ROUND_1,2025-06-14,2025-01-20,WEST,W03,ENUM_07,yes,18_24,woman,2,no,yes,2025-02-23,digital_skills,4,3,5,yes,3,no,,I have already used one of the planning tools from the session.,23.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0284,SYN-0284,yes,1.0.0,ROUND_2,2025-07-02,2025-05-12,WEST,W03,ENUM_04,yes,45_54,woman,7,no,yes,2025-06-11,leadership,4,3,3,yes,4,no,,A location closer to the community would improve attendance.,14.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0289,SYN-0289,yes,1.0.0,ROUND_1,2025-06-05,2025-01-31,SOUTH,S01,ENUM_07,yes,25_34,,5,yes,yes,2025-02-11,leadership,4,1,1,yes,2,no,,I have already used one of the planning tools from the session.,14.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Positive learning experience
SUB-0297,SYN-0297,yes,1.0.0,ROUND_1,2025-08-27,2025-06-21,WEST,W03,ENUM_01,yes,35_44,man,5,no,yes,2025-07-19,financial_skills,5,1,1,yes,4,yes,community_meeting,Shorter sessions on more days would be easier to attend.,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0314,SYN-0314,yes,1.0.0,ROUND_2,2025-06-04,2025-01-22,EAST,E03,ENUM_04,yes,25_34,woman,4,yes,yes,2025-06-04,digital_skills,5,2,3,no,2,no,,The facilitator explained the topic clearly and respectfully.,21.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0315,SYN-0315,yes,1.0.0,ROUND_2,2025-05-20,2025-02-24,EAST,E01,ENUM_07,yes,25_34,man,7,no,yes,2025-05-13,planning,4,2,3,yes,4,no,,A follow-up session on digital tools would be helpful.,28.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0318,SYN-0318,yes,1.0.0,ROUND_1,2025-04-10,2025-01-28,NORTH,N02,ENUM_07,yes,25_34,man,3,no,yes,2025-04-05,digital_skills,3,3,5,no,4,no,,"The session was useful, but the timing conflicted with other responsibilities.",21.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0321,SYN-0321,yes,1.0.0,ROUND_1,2025-05-08,2025-03-27,EAST,E02,ENUM_05,yes,18_24,woman,3,no,yes,2025-04-22,planning,3,4,5,no,4,yes,printed_material,The practical examples made the sessions easier to understand.,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0332,SYN-0332,yes,1.0.0,ROUND_2,2025-06-27,2025-04-08,NORTH,N03,ENUM_04,yes,25_34,man,5,no,yes,2025-05-30,digital_skills,4,2,3,no,3,yes,printed_material,"The session was useful, but the timing conflicted with other responsibilities.",19.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0337,SYN-0337,yes,1.0.0,ROUND_2,2025-06-17,2025-01-26,NORTH,N02,ENUM_07,yes,45_54,woman,5,no,yes,2025-05-10,planning,3,2,3,no,4,no,,Travel to the meeting location was difficult during bad weather.,21.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0340,SYN-0340,yes,1.0.0,ROUND_2,2025-04-12,2025-02-08,WEST,W01,ENUM_08,yes,45_54,man,4,yes,yes,2025-03-17,planning,4,2,3,no,2,no,radio,I have already used one of the planning tools from the session.,19.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,Positive learning experience
SUB-0343,SYN-0343,yes,1.0.0,ROUND_2,2025-06-30,2025-02-10,EAST,E01,ENUM_04,yes,18_24,woman,5,no,yes,2025-05-28,financial_skills,4,4,5,no,4,no,,Printed materials would help people who cannot attend every session.,19.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0344,SYN-0344,yes,1.0.0,ROUND_1,2025-09-20,2025-06-11,WEST,W03,ENUM_01,yes,35_44,man,7,no,yes,2025-07-07,planning,5,4,5,yes,2,no,,I would like more examples about budgeting and record keeping.,20.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0347,SYN-0347,yes,1.0.0,ROUND_1,2025-05-25,2025-01-23,EAST,E02,ENUM_08,yes,18_24,man,6,no,yes,2025-04-09,financial_skills,5,3,4,yes,3,no,,The practical examples made the sessions easier to understand.,18.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0351,SYN-0351,yes,1.0.0,ROUND_2,2025-08-28,2025-07-03,WEST,W01,ENUM_08,yes,25_34,man,7,no,yes,2025-08-09,leadership,5,2,4,yes,4,no,,Travel to the meeting location was difficult during bad weather.,31.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0358,SYN-0358,yes,1.0.0,ROUND_2,2025-04-24,2025-03-19,SOUTH,,ENUM_02,yes,25_34,woman,7,no,yes,2025-03-22,digital_skills,4,3,4,yes,3,yes,printed_material,The group activities helped me learn from other participants.,14.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Positive learning experience
SUB-0362,SYN-0362,yes,1.0.0,ROUND_2,2025-07-13,2025-05-07,WEST,W03,ENUM_06,yes,25_34,man,3,no,yes,2025-06-09,financial_skills,5,1,1,yes,4,yes,community_meeting,The activity should start earlier so participants can travel home safely.,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0364,SYN-0364,yes,1.0.0,ROUND_1,2025-04-25,2024-12-13,SOUTH,S01,ENUM_04,yes,18_24,woman,4,no,yes,2024-12-17,leadership,4,1,1,yes,4,no,,A location closer to the community would improve attendance.,18.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0365,SYN-0365,yes,1.0.0,ROUND_1,2025-08-17,2025-06-16,WEST,W01,ENUM_01,yes,35_44,woman,5,no,yes,2025-06-20,financial_skills,1,3,4,yes,4,yes,radio,The facilitator explained the topic clearly and respectfully.,9.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0368,SYN-0368,yes,1.0.0,ROUND_1,2025-09-11,2025-07-02,WEST,W01,ENUM_03,yes,35_44,woman,7,no,yes,2025-08-31,digital_skills,1,3,4,yes,3,yes,community_meeting,The group activities helped me learn from other participants.,14.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0370,SYN-0370,yes,1.0.0,ROUND_2,2025-05-18,2025-04-07,WEST,W01,ENUM_07,yes,45_54,woman,6,no,yes,2025-04-19,planning,2,2,3,yes,4,no,,The group activities helped me learn from other participants.,17.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0379,SYN-0379,yes,1.0.0,ROUND_2,2025-04-04,2025-02-14,WEST,W01,ENUM_08,yes,18_24,man,4,no,yes,2025-03-02,planning,4,2,3,no,3,yes,printed_material,The facilitator explained the topic clearly and respectfully.,17.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0387,SYN-0387,yes,1.0.0,ROUND_1,2025-06-29,2025-03-09,EAST,E01,ENUM_03,yes,45_54,woman,3,no,yes,2025-06-13,leadership,5,1,2,yes,4,no,,"The session was useful, but the timing conflicted with other responsibilities.",23.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
SUB-0396,SYN-0396,yes,1.0.0,ROUND_2,2025-08-16,2025-06-29,WEST,W02,ENUM_04,yes,25_34,woman,2,no,yes,2025-07-12,leadership,4,2,2,no,5,yes,radio,The facilitator explained the topic clearly and respectfully.,21.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0398,SYN-0398,yes,1.0.0,ROUND_2,2025-07-16,2025-05-25,SOUTH,S01,ENUM_07,yes,35_44,man,4,no,yes,2025-05-30,financial_skills,4,2,3,yes,1,no,,The facilitator explained the topic clearly and respectfully.,19.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Positive learning experience
SUB-0403,SYN-0403,yes,1.0.0,ROUND_1,2025-05-09,2025-03-10,SOUTH,S03,ENUM_04,yes,25_34,man,5,yes,yes,2025-03-19,leadership,4,4,5,yes,3,yes,community_meeting,Travel to the meeting location was difficult during bad weather.,21.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0405,SYN-0405,yes,1.0.0,ROUND_1,2025-06-07,2025-01-17,NORTH,N01,ENUM_03,yes,25_34,man,5,no,yes,2025-03-02,planning,2,4,4,yes,5,no,,The group activities helped me learn from other participants.,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0408,SYN-0408,yes,1.0.0,ROUND_2,2025-07-09,2025-02-15,NORTH,N01,ENUM_02,yes,25_34,man,6,no,yes,2025-05-05,financial_skills,4,1,3,yes,3,yes,radio,I have already used one of the planning tools from the session.,13.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
